latitude,longitude,energy,wavelength
-20.0,10.0,-42.94894350300572,1050.0
-20.0,20.0,9.075860223345513,1050.0
-20.0,30.0,6.547550933590632,1050.0
-20.0,40.0,26.857613454975315,1050.0
-20.0,50.0,-1.270872780627057,1050.0
-20.0,60.0,-30.654039861426387,1050.0
-20.0,70.0,-13.822601732471103,1050.0
-20.0,80.0,43.488431222954205,1050.0
-20.0,90.0,2.8329378753506447,1050.0
-20.0,100.0,-7.224913353010699,1050.0
-20.0,110.0,11.515132466267353,1050.0
-20.0,120.0,-5.8712893294485315,1050.0
-20.0,130.0,-6.6027993803647735,1050.0
-20.0,140.0,28.262710997818115,1050.0
-20.0,150.0,-1.6586657459802527,1050.0
-20.0,160.0,26.54631221818616,1050.0
-20.0,170.0,17.38420966006186,1050.0
-20.0,180.0,58.15567476394297,1050.0
-20.0,190.0,29.38164989971118,1050.0
-20.0,200.0,33.24213287709626,1050.0
-20.0,210.0,17.352183798294888,1050.0
-20.0,220.0,23.62685232223678,1050.0
-20.0,230.0,45.22190173540912,1050.0
-20.0,240.0,6.167670822485507,1050.0
-20.0,250.0,75.00670181742603,1050.0
-20.0,260.0,-44.529800522049484,1050.0
-20.0,270.0,53.33680198791353,1050.0
-20.0,280.0,31.463273010851278,1050.0
-20.0,290.0,53.93791068846352,1050.0
-20.0,300.0,22.082647487941585,1050.0
-20.0,310.0,-80.03673155229264,1050.0
-20.0,320.0,-9.10628451718023,1050.0
-20.0,330.0,-83.94370937926107,1050.0
-20.0,340.0,20.300601902859803,1050.0
-20.0,350.0,-8.098726108161788,1050.0
-10.0,0.0,62.3396332630097,1050.0
-10.0,10.0,45.91750379039654,1050.0
-10.0,20.0,-8.128092751532058,1050.0
-10.0,30.0,85.77868878181603,1050.0
-10.0,40.0,13.547368785192498,1050.0
-10.0,50.0,-53.59414785934895,1050.0
-10.0,60.0,13.408141559558022,1050.0
-10.0,70.0,19.390818401202623,1050.0
-10.0,80.0,-66.8009786512069,1050.0
-10.0,90.0,-3.5978320473688683,1050.0
-10.0,100.0,-5.70362077647077,1050.0
-10.0,110.0,-14.085295041527777,1050.0
-10.0,120.0,21.004882115044364,1050.0
-10.0,130.0,62.85252694071462,1050.0
-10.0,140.0,-77.11839032503289,1050.0
-10.0,150.0,65.1237316960548,1050.0
-10.0,160.0,33.27461273817585,1050.0
-10.0,170.0,-18.75180954449506,1050.0
-10.0,180.0,41.95978388212229,1050.0
-10.0,190.0,-1.3511717698672925,1050.0
-10.0,200.0,24.597011764708895,1050.0
-10.0,210.0,4.218615914867114,1050.0
-10.0,220.0,-21.26480039622451,1050.0
-10.0,230.0,19.235823408832637,1050.0
-10.0,240.0,40.18761700052889,1050.0
-10.0,250.0,10.263655455664631,1050.0
-10.0,260.0,-19.245336957001953,1050.0
-10.0,270.0,-0.41582796023056723,1050.0
-10.0,280.0,9.024855879992984,1050.0
-10.0,290.0,-20.90405259416831,1050.0
-10.0,300.0,-16.704322918990993,1050.0
